
16时00分18秒   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
16时00分33秒     0         -       893    1.00    0.20    0.00    0.00    1.20     0  |__pcm
16时00分33秒     0         -       895    1.20    0.80    0.00    0.00    2.00     0  |__cnn-1
16时00分33秒     0         -       909    0.00    0.20    0.00    0.00    0.20     0  |__ntm
16时00分33秒     0       914         -    0.40    0.60    0.00    0.00    1.00     0  birnn
16时00分33秒     0         -       921    0.00    0.20    0.00    0.00    0.20     0  |__echw
16时00分33秒     0         -       922    0.00    0.20    0.00    0.00    0.20     0  |__esn
16时00分33秒     0         -       923    0.40    0.20    0.00    0.00    0.60     0  |__elm
16时00分33秒     0      2151         -    0.00    0.20    0.00    0.00    0.20     2  kworker/u8:2
16时00分33秒     0         -      2151    0.00    0.20    0.00    0.00    0.20     2  |__kworker/u8:2
16时00分33秒     0      2371         -    0.60    1.20    0.00    0.00    1.80     0  pidstat
16时00分33秒     0         -      2371    0.60    1.20    0.00    0.00    1.80     0  |__pidstat
16时00分33秒     0      2403         -    0.00    0.20    0.00    0.00    0.20     3  top
16时00分33秒     0         -      2403    0.00    0.20    0.00    0.00    0.20     3  |__top

16时00分33秒   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
16时00分38秒     0         5         -    0.00    0.20    0.00    0.00    0.20     3  kworker/u8:0
16时00分38秒     0         -         5    0.00    0.20    0.00    0.00    0.20     3  |__kworker/u8:0
16时00分38秒     0         8         -    0.00    0.20    0.00    0.00    0.20     2  rcu_preempt
16时00分38秒     0         -         8    0.00    0.20    0.00    0.00    0.20     2  |__rcu_preempt
16时00分38秒     0        30         -    0.00    0.20    0.00    0.00    0.20     0  kworker/0:1
16时00分38秒     0         -        30    0.00    0.20    0.00    0.00    0.20     0  |__kworker/0:1
16时00分38秒     0       114         -    0.00    0.20    0.00    0.00    0.20     3  mmcqd/0
16时00分38秒     0         -       114    0.00    0.20    0.00    0.00    0.20     3  |__mmcqd/0
16时00分38秒     0       329         -    0.00    0.40    0.00    0.00    0.40     2  bopt
16时00分38秒     0         -       329    0.00    0.40    0.00    0.00    0.40     2  |__bopt
16时00分38秒     0       615         -    2.60    2.20    0.00    0.00    4.80     2  resnet50
16时00分38秒     0         -       701    2.60    2.20    0.00    0.00    4.80     0  |__resnet50-1
16时00分38秒     0       630         -    0.00    0.20    0.00    0.00    0.20     2  Meg-acm.sh
16时00分38秒     0         -       630    0.00    0.20    0.00    0.00    0.20     2  |__Meg-acm.sh
16时00分38秒     0       636         -    0.00    0.40    0.00    0.00    0.40     2  statusd
16时00分38秒     0         -       636    0.20    0.20    0.00    0.00    0.40     2  |__statusd
16时00分38秒     0       691         -    3.40    4.00    0.00    0.00    7.40     2  cnn
16时00分38秒     0         -       693    0.20    0.20    0.00    0.00    0.40     0  |__cnn
16时00分38秒     0         -       694    0.00    0.60    0.00    0.00    0.60     0  |__cnn
16时00分38秒     0         -       705    0.40    0.60    0.00    0.00    1.00     0  |__cnn
16时00分38秒     0         -       706    0.60    0.40    0.00    0.00    1.00     0  |__cnn
16时00分38秒     0         -       707    1.00    1.00    0.00    0.00    2.00     0  |__cnn
16时00分38秒     0         -       708    0.60    0.40    0.00    0.00    1.00     0  |__cnn
16时00分38秒     0         -       856    0.20    0.20    0.00    0.00    0.40     0  |__cnn
16时00分38秒     0         -       857    0.20    0.80    0.00    0.00    1.00     2  |__cnn-1
16时00分38秒     0       719         -  136.60    7.20    0.00    0.00  143.80     2  rnn
