procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 306060  23324 705032    0    0     0   785 7705 13693 26  8 66  1  0
 3  0      0 255348  23368 754316    0    0     1  4937 7903 13775 27  8 51 13  0
 4  0      0 255596  23404 755184    0    0     0   186 7685 13707 26  7 67  0  0
 4  0      0 255168  23436 756220    0    0     0   186 7714 13729 25  7 68  0  0
 2  0      0 253752  23460 757640    0    0     0   180 7524 13566 25  7 68  0  0
 4  0      0 251100  23504 758868    0    0     0   128 7468 13402 24  7 69  0  0
 3  0      0 225236  23652 783424    0    0     1  1301 7720 13826 25  7 67  1  0
 1  1      0 418292  23688 590652    0    0     1  4570 7822 13669 24  9 49 17  0
 1  0      0 430720  23752 579304    0    0     0   184 7511 13506 24  7 63  6  0
 1  0      0 429700  23788 580400    0    0     0   129 7509 13621 25  6 68  0  0
 3  0      0 428272  23820 581576    0    0     0   186 7437 13550 24  6 70  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 426812  23856 582720    0    0     0   200 7461 13522 24  6 69  0  0
 6  0      0 397672  23972 610108    0    0     1  1178 7670 13711 25  7 67  0  0
 4  1      0 361732  24048 646924    0    0     1  3686 7722 13708 25  7 47 21  0
 1  0      0 358688  24084 651240    0    0     0  1043 7666 13713 26  7 66  2  0
 5  0      0 357232  24120 652396    0    0     0   183 7457 13567 25  6 68  0  0
 1  0      0 355960  24160 653800    0    0     0   209 7629 13676 26  7 68  0  0
 2  0      0 350288  24280 659000    0    0     0   455 7780 13786 28  7 65  0  0
 5  1      0 327348  24496 682012    0    0     5  1222 7950 14027 27  8 65  1  0
 3  0      0 280580  24528 730612    0    0     1  4146 7890 13747 26  8 50 16  0
 4  0      0 278656  24560 731912    0    0     0   998 7808 13892 26  7 68  0  0
 2  0      0 276224  24608 733192    0    0     0   197 7650 13744 25  7 68  0  0
 0  0      0 274684  24640 734788    0    0     0   204 7643 13723 25  7 68  0  0
