16时00分16秒,cpu,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%idle
16时02分16秒,0,20.13,0.00,12.92,0.00,0.00,1.27,0.00,0.00,65.68
16时02分16秒,1,42.69,0.00,0.40,0.00,0.00,0.00,0.00,0.00,56.91
16时02分16秒,2,32.59,0.00,5.70,0.00,0.00,0.00,0.00,0.00,61.71
16时02分16秒,3,47.69,0.00,4.43,0.00,0.00,0.00,0.00,0.00,47.89
16时02分21秒,all,48.32,0.00,6.41,0.00,0.00,0.25,0.00,0.00,45.02
16时02分21秒,0,30.33,0.00,14.64,0.00,0.00,1.26,0.00,0.00,53.77
16时02分21秒,1,67.33,0.00,1.20,0.00,0.00,0.00,0.00,0.00,31.46
16时02分21秒,2,41.18,0.00,5.27,0.00,0.00,0.00,0.00,0.00,53.55
16时02分21秒,3,53.63,0.00,4.84,0.00,0.00,0.00,0.00,0.00,41.53
16时02分26秒,all,46.31,0.00,5.85,0.00,0.00,0.31,0.00,0.00,47.53
16时02分26秒,0,22.50,0.00,13.33,0.00,0.00,1.04,0.00,0.00,63.12
16时02分26秒,1,76.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,23.20
16时02分26秒,2,32.72,0.00,5.49,0.00,0.00,0.00,0.00,0.00,61.79
16时02分26秒,3,53.13,0.00,4.04,0.00,0.00,0.00,0.00,0.00,42.83
16时02分31秒,all,46.61,0.00,5.81,0.00,0.00,0.25,0.00,0.00,47.33
16时02分31秒,0,20.17,0.00,13.03,0.00,0.00,1.26,0.00,0.00,65.55
16时02分31秒,1,82.36,0.00,0.60,0.00,0.00,0.00,0.00,0.00,17.03
16时02分31秒,2,32.99,0.00,5.91,0.00,0.00,0.00,0.00,0.00,61.10
16时02分31秒,3,49.30,0.00,4.23,0.00,0.00,0.00,0.00,0.00,46.48
16时02分36秒,all,44.41,0.00,5.95,0.00,0.00,0.30,0.00,0.00,49.34
16时02分36秒,0,20.50,0.00,12.76,0.00,0.00,1.05,0.00,0.00,65.69
16时02分36秒,1,73.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,26.00
16时02分36秒,2,34.29,0.00,6.12,0.00,0.00,0.00,0.00,0.00,59.59
16时02分36秒,3,48.49,0.00,4.23,0.00,0.00,0.00,0.00,0.00,47.28
16时02分41秒,all,42.94,0.00,5.79,0.05,0.00,0.25,0.00,0.00,50.97
16时02分41秒,0,19.79,0.00,12.71,0.00,0.00,1.04,0.00,0.00,66.46
16时02分41秒,1,71.89,0.00,0.80,0.00,0.00,0.00,0.00,0.00,27.31
16时02分41秒,2,31.50,0.00,5.69,0.00,0.00,0.00,0.00,0.00,62.80
16时02分41秒,3,47.79,0.00,4.02,0.00,0.00,0.00,0.00,0.00,48.19
16时02分46秒,all,42.38,0.00,5.40,0.00,0.00,0.25,0.00,0.00,51.96
16时02分46秒,0,22.18,0.00,11.72,0.00,0.00,1.05,0.00,0.00,65.06
16时02分46秒,1,63.93,0.00,1.20,0.00,0.00,0.00,0.00,0.00,34.87
16时02分46秒,2,36.31,0.00,5.07,0.00,0.00,0.00,0.00,0.00,58.62
16时02分46秒,3,46.37,0.00,4.03,0.00,0.00,0.00,0.00,0.00,49.60
16时02分51秒,all,42.97,0.00,6.57,0.00,0.00,0.25,0.00,0.00,50.20
16时02分51秒,0,21.17,0.00,13.84,0.00,0.00,1.05,0.00,0.00,63.94
16时02分51秒,1,69.48,0.00,2.41,0.00,0.00,0.00,0.00,0.00,28.11
16时02分51秒,2,32.58,0.00,5.74,0.00,0.00,0.00,0.00,0.00,61.68
16时02分51秒,3,47.18,0.00,4.44,0.20,0.00,0.00,0.00,0.00,48.19
16时02分56秒,all,41.23,0.00,5.61,0.00,0.00,0.31,0.00,0.00,52.85
16时02分56秒,0,24.16,0.00,11.76,0.00,0.00,1.26,0.00,0.00,62.82
16时02分56秒,1,56.02,0.00,1.20,0.00,0.00,0.00,0.00,0.00,42.77
16时02分56秒,2,37.32,0.00,5.88,0.00,0.00,0.00,0.00,0.00,56.80
16时02分56秒,3,46.79,0.00,3.82,0.00,0.00,0.00,0.00,0.00,49.40
16时03分01秒,all,38.85,0.00,6.65,2.49,0.00,0.30,0.00,0.00,51.70
16时03分01秒,0,23.08,0.00,15.80,10.19,0.00,1.25,0.00,0.00,49.69
16时03分01秒,1,53.31,0.00,1.00,0.00,0.00,0.00,0.00,0.00,45.69
16时03分01秒,2,32.79,0.00,5.09,0.00,0.00,0.00,0.00,0.00,62.12
16时03分01秒,3,45.77,0.00,5.04,0.00,0.00,0.00,0.00,0.00,49.19
16时03分06秒,all,43.02,0.00,7.86,13.55,0.00,0.30,0.00,0.00,35.26
16时03分06秒,0,24.90,0.00,18.67,55.19,0.00,1.24,0.00,0.00,0.00
16时03分06秒,1,60.64,0.00,1.00,0.00,0.00,0.00,0.00,0.00,38.35
16时03分06秒,2,36.44,0.00,6.88,0.00,0.00,0.00,0.00,0.00,56.68
16时03分06秒,3,49.40,0.00,5.42,0.20,0.00,0.00,0.00,0.00,44.98
16时03分11秒,all,40.51,0.00,7.04,11.33,0.00,0.36,0.00,0.00,40.77
16时03分11秒,0,22.55,0.00,16.70,46.14,0.00,1.46,0.00,0.00,13.15
16时03分11秒,1,57.43,0.00,0.60,0.00,0.00,0.00,0.00,0.00,41.97
16时03分11秒,2,32.79,0.00,5.94,0.20,0.00,0.00,0.00,0.00,61.07
16时03分11秒,3,48.28,0.00,5.25,0.00,0.00,0.00,0.00,0.00,46.46
16时03分16秒,all,44.88,0.00,5.56,0.05,0.00,0.31,0.00,0.00,49.21
16时03分16秒,0,25.10,0.00,12.13,0.00,0.00,1.46,0.00,0.00,61.30
16时03分16秒,1,62.12,0.00,0.80,0.00,0.00,0.00,0.00,0.00,37.07
16时03分16秒,2,37.88,0.00,5.09,0.00,0.00,0.00,0.00,0.00,57.03
16时03分16秒,3,53.43,0.00,4.64,0.20,0.00,0.00,0.00,0.00,41.73
16时03分21秒,all,47.11,0.00,6.13,0.00,0.00,0.31,0.00,0.00,46.45
16时03分21秒,0,22.03,0.00,13.35,0.00,0.00,1.06,0.00,0.00,63.56
16时03分21秒,1,61.52,0.00,0.60,0.20,0.00,0.00,0.00,0.00,37.68
16时03分21秒,2,34.84,0.00,6.56,0.00,0.00,0.00,0.00,0.00,58.61
16时03分21秒,3,68.61,0.00,4.23,0.20,0.00,0.00,0.00,0.00,26.96
16时03分26秒,all,44.91,0.00,5.60,0.00,0.00,0.25,0.00,0.00,49.24
16时03分26秒,0,22.96,0.00,13.15,0.00,0.00,1.25,0.00,0.00,62.63
16时03分26秒,1,50.10,0.00,0.40,0.00,0.00,0.00,0.00,0.00,49.50
16时03分26秒,2,39.63,0.00,5.08,0.00,0.00,0.00,0.00,0.00,55.28
16时03分26秒,3,66.20,0.00,3.82,0.00,0.00,0.00,0.00,0.00,29.98
16时03分31秒,all,39.63,0.00,5.60,0.05,0.00,0.31,0.00,0.00,54.41
16时03分31秒,0,21.47,0.00,11.16,0.00,0.00,1.05,0.00,0.00,66.32
16时03分31秒,1,42.17,0.00,1.00,0.00,0.00,0.00,0.00,0.00,56.83
16时03分31秒,2,33.40,0.00,6.31,0.00,0.00,0.00,0.00,0.00,60.29
16时03分31秒,3,60.69,0.00,4.03,0.00,0.00,0.00,0.00,0.00,35.28
16时03分36秒,all,42.57,0.00,5.96,0.00,0.00,0.31,0.00,0.00,51.17
16时03分36秒,0,20.92,0.00,13.81,0.00,0.00,1.46,0.00,0.00,63.81
16时03分36秒,1,52.60,0.00,0.80,0.20,0.00,0.00,0.00,0.00,46.40
16时03分36秒,2,39.10,0.00,4.89,0.00,0.00,0.00,0.00,0.00,56.01
16时03分36秒,3,56.34,0.00,4.83,0.00,0.00,0.00,0.00,0.00,38.83
16时03分41秒,all,41.83,0.00,5.70,0.00,0.00,0.25,0.00,0.00,52.21
16时03分41秒,0,21.17,0.00,11.95,0.00,0.00,0.84,0.00,0.00,66.04
16时03分41秒,1,55.31,0.00,0.80,0.00,0.00,0.00,0.00,0.00,43.89
16时03分41秒,2,33.06,0.00,5.92,0.00,0.00,0.00,0.00,0.00,61.02
16时03分41秒,3,56.91,0.00,4.61,0.00,0.00,0.00,0.00,0.00,38.48
16时03分46秒,all,42.32,0.00,5.72,0.05,0.00,0.31,0.00,0.00,51.61
16时03分46秒,0,22.18,0.00,12.34,0.00,0.00,1.46,0.00,0.00,64.02
16时03分46秒,1,56.94,0.00,0.80,0.00,0.00,0.00,0.00,0.00,42.25
16时03分46秒,2,32.45,0.00,5.31,0.00,0.00,0.00,0.00,0.00,62.24
16时03分46秒,3,56.88,0.00,4.45,0.00,0.00,0.00,0.00,0.00,38.66
16时03分51秒,all,43.65,0.00,6.17,0.00,0.00,0.36,0.00,0.00,49.82
16时03分51秒,0,24.16,0.00,13.66,0.00,0.00,1.26,0.00,0.00,60.92
16时03分51秒,1,52.91,0.00,0.80,0.00,0.00,0.00,0.00,0.00,46.29
16时03分51秒,2,38.16,0.00,5.92,0.00,0.00,0.00,0.00,0.00,55.92
16时03分51秒,3,58.55,0.00,4.83,0.00,0.00,0.00,0.00,0.00,36.62
16时03分56秒,all,41.20,0.00,5.35,0.00,0.00,0.31,0.00,0.00,53.14
16时03分56秒,0,22.11,0.00,11.16,0.00,0.00,1.26,0.00,0.00,65.47
16时03分56秒,1,46.09,0.00,0.80,0.00,0.00,0.00,0.00,0.00,53.11
16时03分56秒,2,32.85,0.00,5.13,0.00,0.00,0.00,0.00,0.00,62.01
16时03分56秒,3,62.90,0.00,4.44,0.00,0.00,0.00,0.00,0.00,32.66
16时04分01秒,all,39.75,0.00,6.56,3.21,0.00,0.36,0.00,0.00,50.13
16时04分01秒,0,22.41,0.00,15.56,12.03,0.00,1.45,0.00,0.00,48.55
16时04分01秒,1,45.89,0.00,1.00,0.00,0.00,0.00,0.00,0.00,53.11
16时04分01秒,2,34.08,0.00,6.53,0.61,0.00,0.00,0.00,0.00,58.78
16时04分01秒,3,55.73,0.00,3.62,0.20,0.00,0.00,0.00,0.00,40.44
16时04分06秒,all,35.99,0.00,9.14,8.88,0.00,0.30,0.00,0.00,45.69
16时04分06秒,0,24.69,0.00,23.44,35.89,0.00,1.24,0.00,0.00,14.73
16时04分06秒,1,34.07,0.00,1.01,0.00,0.00,0.00,0.00,0.00,64.92
16时04分06秒,2,36.64,0.00,7.29,0.00,0.00,0.00,0.00,0.00,56.07
16时04分06秒,3,48.39,0.00,5.24,0.40,0.00,0.00,0.00,0.00,45.97
16时04分11秒,all,37.12,0.00,5.65,0.10,0.00,0.25,0.00,0.00,56.87
16时04分11秒,0,21.76,0.00,12.13,0.00,0.00,1.05,0.00,0.00,65.06
16时04分11秒,1,45.80,0.00,0.60,0.00,0.00,0.00,0.00,0.00,53.60
16时04分11秒,2,31.98,0.00,5.70,0.41,0.00,0.00,0.00,0.00,61.91
16时04分11秒,3,47.98,0.00,4.64,0.00,0.00,0.00,0.00,0.00,47.38
16时04分16秒,all,42.15,0.00,6.10,0.56,0.00,0.25,0.00,0.00,50.94
16时04分16秒,0,21.58,0.00,13.28,0.00,0.00,1.04,0.00,0.00,64.11
16时04分16秒,1,54.82,0.00,0.60,0.00,0.00,0.00,0.00,0.00,44.58
16时04分16秒,2,37.01,0.00,6.13,2.04,0.00,0.00,0.00,0.00,54.81
